,CELL_ID
0,0303.1005
1,0303.1022
2,0303.1026
3,0303.1029
4,0303.1032
5,0303.1044
6,0303.1048
7,0303.1049
8,0303.1050
9,0303.1051
10,0303.1053
11,0303.1081
12,0303.1082
13,0303.1083
14,0303.1091
15,0303.1097
16,0303.1106
17,0303.1107
18,0303.1108
19,0303.1109
20,0303.1116
21,0303.1117
22,0303.1118
23,0303.1119
24,0303.1138
25,0303.1139
26,0303.1147
27,0303.1154
28,0303.1155
29,0303.1156
30,0303.1157
31,0303.1170
32,0303.1188
33,0303.1189
34,0303.1210
35,0303.1219
36,0303.1229
37,0303.1244
38,0303.1260
39,0303.1261
40,0303.1278
41,0303.128
42,0303.1280
43,0303.1285
44,0303.1295
45,0303.1296
46,0303.1297
47,0303.1315
48,0303.1316
49,0303.1330
50,0303.1339
51,0303.1340
52,0303.1341
53,0303.1343
54,0303.1344
55,0303.1350
56,0303.1357
57,0303.1362
58,0303.1366
59,0303.1382
60,0303.1383
61,0303.1408
62,0303.1410
63,0303.1418
64,0303.1419
65,0303.1430
66,0303.1432
67,0303.1434
68,0303.1436
69,0303.1444
70,0303.145
71,0303.146
72,0303.1463
73,0303.147
74,0303.1472
75,0303.1474
76,0303.148
77,0303.1490
78,0303.1491
79,0303.1511
80,0303.1512
81,0303.1520
82,0303.1539
83,0303.1542
84,0303.1543
85,0303.1545
86,0303.1546
87,0303.1550
88,0303.1553
89,0303.1555
90,0303.1556
91,0303.1564
92,0303.1570
93,0303.1576
94,0303.1582
95,0303.1585
96,0303.1590
97,0303.1607
98,0303.1620
99,0303.1624
100,0303.1625
101,0303.1638
102,0303.1639
103,0303.1640
104,0303.1644
105,0303.1647
106,0303.1665
107,0303.1694
108,0303.1718
109,0303.1731
110,0303.1739
111,0303.1767
112,0303.1768
113,0303.1774
114,0303.1782
115,0303.1811
116,0303.1812
117,0303.1815
118,0303.1817
119,0303.1837
120,0303.1839
121,0303.1844
122,0303.1851
123,0303.1852
124,0303.1871
125,0303.1880
126,0303.1881
127,0303.1882
128,0303.1888
129,0303.1892
130,0303.1905
131,0303.1908
132,0303.1914
133,0303.1923
134,0303.1945
135,0303.1970
136,0303.1971
137,0303.1972
138,0303.1993
139,0303.1998
140,0303.2
141,0303.2003
142,0303.2019
143,0303.2026
144,0303.2027
145,0303.2029
146,0303.2030
147,0303.2031
148,0303.2034
149,0303.2073
150,0303.2079
151,0303.2082
152,0303.2084
153,0303.2096
154,0303.21
155,0303.2102
156,0303.2114
157,0303.2122
158,0303.2123
159,0303.2161
160,0303.2162
161,0303.217
162,0303.2180
163,0303.2185
164,0303.2195
165,0303.2199
166,0303.2212
167,0303.2213
168,0303.2216
169,0303.2217
170,0303.2221
171,0303.224
172,0303.2242
173,0303.2279
174,0303.228
175,0303.2288
176,0303.229
177,0303.2291
178,0303.2292
179,0303.2295
180,0303.230
181,0303.2310
182,0303.2311
183,0303.2314
184,0303.2320
185,0303.2327
186,0303.2328
187,0303.2337
188,0303.2349
189,0303.2352
190,0303.2360
191,0303.2370
192,0303.2385
193,0303.2386
194,0303.2399
195,0303.2400
196,0303.2403
197,0303.2404
198,0303.2420
199,0303.2422
200,0303.2430
201,0303.2431
202,0303.2443
203,0303.2445
204,0303.2454
205,0303.2455
206,0303.2456
207,0303.2464
208,0303.2497
209,0303.2498
210,0303.2501
211,0303.2509
212,0303.2520
213,0303.2521
214,0303.2523
215,0303.2525
216,0303.2538
217,0303.2555
218,0303.2571
219,0303.2572
220,0303.2579
221,0303.2604
222,0303.2619
223,0303.2632
224,0303.2645
225,0303.2649
226,0303.2661
227,0303.2662
228,0303.2663
229,0303.2666
230,0303.2669
231,0303.2685
232,0303.2686
233,0303.2701
234,0303.2703
235,0303.2709
236,0303.2718
237,0303.275
238,0303.2833
239,0303.2834
240,0303.2840
241,0303.2842
242,0303.2848
243,0303.2857
244,0303.2875
245,0303.2879
246,0303.2886
247,0303.2895
248,0303.2898
249,0303.2908
250,0303.2929
251,0303.2930
252,0303.2940
253,0303.2953
254,0303.2955
255,0303.2956
256,0303.2963
257,0303.2964
258,0303.2998
259,0303.2999
260,0303.300
261,0303.3011
262,0303.3014
263,0303.3037
264,0303.3038
265,0303.3049
266,0303.3070
267,0303.308
268,0303.3089
269,0303.309
270,0303.3105
271,0303.3108
272,0303.314
273,0303.3164
274,0303.3203
275,0303.321
276,0303.3216
277,0303.3217
278,0303.322
279,0303.3223
280,0303.3224
281,0303.3232
282,0303.3238
283,0303.3240
284,0303.3245
285,0303.3252
286,0303.3260
287,0303.3263
288,0303.3273
289,0303.3278
290,0303.3305
291,0303.3327
292,0303.333
293,0303.334
294,0303.3362
295,0303.337
296,0303.343
297,0303.3433
298,0303.345
299,0303.3451
300,0303.3497
301,0303.3502
302,0303.3505
303,0303.3510
304,0303.3517
305,0303.3526
306,0303.3540
307,0303.358
308,0303.3581
309,0303.3597
310,0303.3624
311,0303.3641
312,0303.3677
313,0303.3685
314,0303.3692
315,0303.370
316,0303.371
317,0303.3728
318,0303.373
319,0303.3845
320,0303.3866
321,0303.3871
322,0303.3915
323,0303.3917
324,0303.396
325,0303.4
326,0303.4014
327,0303.409
328,0303.410
329,0303.415
330,0303.416
331,0303.431
332,0303.433
333,0303.438
334,0303.44
335,0303.440
336,0303.487
337,0303.490
338,0303.502
339,0303.506
340,0303.508
341,0303.509
342,0303.511
343,0303.517
344,0303.528
345,0303.535
346,0303.542
347,0303.543
348,0303.544
349,0303.553
350,0303.557
351,0303.574
352,0303.575
353,0303.582
354,0303.583
355,0303.584
356,0303.591
357,0303.596
358,0303.607
359,0303.612
360,0303.62
361,0303.622
362,0303.625
363,0303.63
364,0303.636
365,0303.637
366,0303.638
367,0303.639
368,0303.64
369,0303.650
370,0303.651
371,0303.652
372,0303.654
373,0303.655
374,0303.660
375,0303.666
376,0303.673
377,0303.686
378,0303.696
379,0303.7
380,0303.70
381,0303.709
382,0303.732
383,0303.736
384,0303.749
385,0303.76
386,0303.760
387,0303.771
388,0303.783
389,0303.80
390,0303.806
391,0303.807
392,0303.827
393,0303.828
394,0303.83
395,0303.835
396,0303.837
397,0303.845
398,0303.846
399,0303.857
400,0303.858
401,0303.9
402,0303.918
403,0303.919
404,0303.933
405,0303.934
406,0303.935
407,0303.940
408,0303.965
409,0303.968
410,0303.987
411,0303.988
412,0403.1
413,0403.1000
414,0403.1005
415,0403.1013
416,0403.1016
417,0403.1017
418,0403.1034
419,0403.1035
420,0403.1036
421,0403.1037
422,0403.1045
423,0403.1046
424,0403.1062
425,0403.1064
426,0403.1065
427,0403.1079
428,0403.108
429,0403.1086
430,0403.1087
431,0403.109
432,0403.1097
433,0403.11
434,0403.1101
435,0403.1109
436,0403.1110
437,0403.1139
438,0403.1140
439,0403.1149
440,0403.115
441,0403.1182
442,0403.1183
443,0403.1186
444,0403.1213
445,0403.1215
446,0403.1232
447,0403.1233
448,0403.1241
449,0403.125
450,0403.1257
451,0403.1259
452,0403.1260
453,0403.1261
454,0403.1262
455,0403.1271
456,0403.1309
457,0403.1325
458,0403.1332
459,0403.1333
460,0403.1342
461,0403.1346
462,0403.135
463,0403.136
464,0403.1361
465,0403.1363
466,0403.137
467,0403.1377
468,0403.138
469,0403.1380
470,0403.1396
471,0403.1399
472,0403.1409
473,0403.1410
474,0403.1430
475,0403.1431
476,0403.1438
477,0403.1450
478,0403.1471
479,0403.1481
480,0403.1496
481,0403.15
482,0403.1504
483,0403.1514
484,0403.1516
485,0403.1521
486,0403.1543
487,0403.1544
488,0403.156
489,0403.1572
490,0403.1589
491,0403.1590
492,0403.1595
493,0403.1601
494,0403.1612
495,0403.1615
496,0403.1621
497,0403.1629
498,0403.1637
499,0403.1653
500,0403.1670
501,0403.1671
502,0403.1674
503,0403.1688
504,0403.1689
505,0403.1690
506,0403.1692
507,0403.1694
508,0403.1700
509,0403.1721
510,0403.1724
511,0403.1741
512,0403.1742
513,0403.1751
514,0403.1760
515,0403.1761
516,0403.1763
517,0403.1767
518,0403.1783
519,0403.1793
520,0403.1800
521,0403.1813
522,0403.1817
523,0403.1833
524,0403.1837
525,0403.1849
526,0403.1850
527,0403.1851
528,0403.1854
529,0403.1856
530,0403.1873
531,0403.1881
532,0403.1885
533,0403.1894
534,0403.1909
535,0403.1930
536,0403.1947
537,0403.196
538,0403.1963
539,0403.1973
540,0403.1989
541,0403.199
542,0403.1995
543,0403.1996
544,0403.2004
545,0403.2007
546,0403.2008
547,0403.2009
548,0403.2025
549,0403.204
550,0403.206
551,0403.2061
552,0403.2071
553,0403.2080
554,0403.209
555,0403.2092
556,0403.2110
557,0403.2111
558,0403.2112
559,0403.2155
560,0403.2156
561,0403.2160
562,0403.2168
563,0403.2174
564,0403.2178
565,0403.2183
566,0403.2194
