,head,modality,L^1_{1},L^1_{2},R^2_{1},R^2_{2},DTW
0,Single Frame,bf,0.23904186,0.18178774,-0.9111698317102839,0.3167670923830899,5.329270686462136
0,Causal CNN,bf,0.25191814,0.16102014,-1.131341740105397,0.4253571378206857,4.322957295471515
0,LSTM,bf,0.4239878,0.22887819,-3.2690623697906136,-0.056893542671018725,3.68466915487817
0,Causal Transformer,bf,0.326403,0.21430872,-1.5660860421221197,0.10956416263372198,5.158851226990002
0,Mamba,bf,0.48462138,0.25907722,-4.174510099710131,-0.3134048094270657,3.562690208724744
0,Transformer,bf,0.1468856,0.13856214,0.19637586934844872,0.6188418793657267,3.021580852945119
0,Single Frame,h2b,0.1829465,0.10693707,-0.2292144803061401,0.7483940182971648,3.2850182080460226
0,Causal CNN,h2b,0.14923461,0.12490276,0.1027264394991858,0.699915267522338,3.0769856962129336
0,LSTM,h2b,0.14010848,0.11538781,0.27906783077985375,0.7267639822308118,2.750306472089723
0,Causal Transformer,h2b,0.13182667,0.111154504,0.513267634411577,0.7429581346154199,3.154447188072265
0,Mamba,h2b,0.18502513,0.13427351,-0.11621180948779745,0.6252773074257124,2.8963879857589423
0,Transformer,h2b,0.07390576,0.09457565,0.7560234100912815,0.8217854308527189,2.896378450299967
